DATE,Row labels,Day Low,Day High,Day Price
4-Jan-21,NCBA,27,27,27
5-Jan-21,NCBA,25,27,26
6-Jan-21,NCBA,25,26,25
7-Jan-21,NCBA,26,26,26
11-Jan-21,NCBA,26,26,26
12-Jan-21,NCBA,25,26,26
13-Jan-21,NCBA,25,26,26
14-Jan-21,NCBA,25,26,25
15-Jan-21,NCBA,25,26,26
18-Jan-21,NCBA,25,26,26
19-Jan-21,NCBA,25,26,26
20-Jan-21,NCBA,25,26,26
21-Jan-21,NCBA,25,26,25
22-Jan-21,NCBA,25,26,25
25-Jan-21,NCBA,25,26,25
26-Jan-21,NCBA,25,25,25
27-Jan-21,NCBA,25,25,25
28-Jan-21,NCBA,24,25,25
29-Jan-21,NCBA,25,25,25
1-Feb-21,NCBA,25,25,25
2-Feb-21,NCBA,25,25,25
3-Feb-21,NCBA,25,26,25
4-Feb-21,NCBA,24,25,24
5-Feb-21,NCBA,25,25,25
8-Feb-21,NCBA,24,25,24
9-Feb-21,NCBA,24,25,24
10-Feb-21,NCBA,24,25,24
11-Feb-21,NCBA,23,25,24
12-Feb-21,NCBA,23,25,24
15-Feb-21,NCBA,24,25,24
16-Feb-21,NCBA,24,24,24
17-Feb-21,NCBA,24,24,24
18-Feb-21,NCBA,24,24,24
19-Feb-21,NCBA,24,24,24
22-Feb-21,NCBA,24,25,24
23-Feb-21,NCBA,24,25,24
24-Feb-21,NCBA,24,25,24
25-Feb-21,NCBA,24,25,24
26-Feb-21,NCBA,24,25,25
1-Mar-21,NCBA,24,25,24
2-Mar-21,NCBA,24,27,25
3-Mar-21,NCBA,27,27,27
4-Mar-21,NCBA,24,27,25
5-Mar-21,NCBA,26,26,26
8-Mar-21,NCBA,25,26,25
9-Mar-21,NCBA,24,25,24
10-Mar-21,NCBA,24,25,24
11-Mar-21,NCBA,24,24,24
12-Mar-21,NCBA,24,25,25
15-Mar-21,NCBA,24,25,24
16-Mar-21,NCBA,24,25,24
17-Mar-21,NCBA,24,25,24
18-Mar-21,NCBA,25,25,25
19-Mar-21,NCBA,25,25,25
22-Mar-21,NCBA,24,25,25
23-Mar-21,NCBA,25,25,25
24-Mar-21,NCBA,23,25,23
25-Mar-21,NCBA,23,24,23
26-Mar-21,NCBA,23,23,23
29-Mar-21,NCBA,23,26,24
30-Mar-21,NCBA,24,26,25
31-Mar-21,NCBA,25,26,25
1-Apr-21,NCBA,25,26,25
6-Apr-21,NCBA,25,26,25
7-Apr-21,NCBA,25,25,25
8-Apr-21,NCBA,24,25,25
9-Apr-21,NCBA,25,25,25
12-Apr-21,NCBA,25,25,25
13-Apr-21,NCBA,25,26,26
14-Apr-21,NCBA,26,27,27
15-Apr-21,NCBA,26,27,26
16-Apr-21,NCBA,26,27,27
19-Apr-21,NCBA,27,27,27
20-Apr-21,NCBA,26,27,27
21-Apr-21,NCBA,25,26,25
22-Apr-21,NCBA,25,25,25
23-Apr-21,NCBA,25,25,25
26-Apr-21,NCBA,25,26,25
27-Apr-21,NCBA,24,25,25
28-Apr-21,NCBA,24,25,24
29-Apr-21,NCBA,25,25,25
30-Apr-21,NCBA,25,25,25
3-May-21,NCBA,24,25,24
4-May-21,NCBA,24,25,24
5-May-21,NCBA,24,25,25
6-May-21,NCBA,24,25,24
7-May-21,NCBA,25,25,25
10-May-21,NCBA,25,25,25
11-May-21,NCBA,25,26,25
12-May-21,NCBA,25,25,25
13-May-21,NCBA,25,25,25
17-May-21,NCBA,25,25,25
18-May-21,NCBA,25,25,25
19-May-21,NCBA,25,25,25
20-May-21,NCBA,25,25,25
21-May-21,NCBA,25,25,25
24-May-21,NCBA,24,25,25
25-May-21,NCBA,25,26,25
26-May-21,NCBA,25,26,25
27-May-21,NCBA,25,26,25
28-May-21,NCBA,25,26,25
31-May-21,NCBA,25,27,26
2-Jun-21,NCBA,26,28,27
3-Jun-21,NCBA,26,27,27
4-Jun-21,NCBA,26,27,26
7-Jun-21,NCBA,26,26,26
8-Jun-21,NCBA,26,27,26
9-Jun-21,NCBA,26,27,26
10-Jun-21,NCBA,26,27,26
11-Jun-21,NCBA,26,27,26
14-Jun-21,NCBA,26,27,26
15-Jun-21,NCBA,26,27,26
16-Jun-21,NCBA,26,26,26
17-Jun-21,NCBA,26,26,26
18-Jun-21,NCBA,26,26,26
21-Jun-21,NCBA,25,26,25
22-Jun-21,NCBA,25,26,25
23-Jun-21,NCBA,25,26,25
24-Jun-21,NCBA,24,26,25
25-Jun-21,NCBA,24,25,25
28-Jun-21,NCBA,24,26,26
29-Jun-21,NCBA,25,26,25
30-Jun-21,NCBA,25,26,26
1-Jul-21,NCBA,25,26,26
2-Jul-21,NCBA,25,25,25
5-Jul-21,NCBA,25,26,25
6-Jul-21,NCBA,25,26,25
7-Jul-21,NCBA,25,26,26
8-Jul-21,NCBA,25,26,26
9-Jul-21,NCBA,26,27,26
12-Jul-21,NCBA,25,26,26
13-Jul-21,NCBA,26,26,26
14-Jul-21,NCBA,26,26,26
15-Jul-21,NCBA,26,26,26
16-Jul-21,NCBA,26,26,26
19-Jul-21,NCBA,26,27,26
21-Jul-21,NCBA,26,26,26
22-Jul-21,NCBA,26,26,26
23-Jul-21,NCBA,26,27,26
26-Jul-21,NCBA,26,27,26
27-Jul-21,NCBA,26,27,26
28-Jul-21,NCBA,26,27,27
29-Jul-21,NCBA,26,27,27
30-Jul-21,NCBA,27,27,27
2-Aug-21,NCBA,27,27,27
3-Aug-21,NCBA,26,27,27
4-Aug-21,NCBA,26,27,26
5-Aug-21,NCBA,26,27,26
6-Aug-21,NCBA,26,27,26
9-Aug-21,NCBA,26,26,26
10-Aug-21,NCBA,25,26,26
11-Aug-21,NCBA,25,26,25
12-Aug-21,NCBA,25,26,25
13-Aug-21,NCBA,25,26,25
16-Aug-21,NCBA,25,26,25
17-Aug-21,NCBA,25,26,25
18-Aug-21,NCBA,26,27,26
19-Aug-21,NCBA,27,28,27
20-Aug-21,NCBA,27,28,27
23-Aug-21,NCBA,27,27,27
24-Aug-21,NCBA,27,27,27
25-Aug-21,NCBA,27,27,27
26-Aug-21,NCBA,27,27,27
27-Aug-21,NCBA,26,27,26
30-Aug-21,NCBA,27,28,28
31-Aug-21,NCBA,28,29,28
1-Sep-21,NCBA,28,28,28
2-Sep-21,NCBA,28,28,28
3-Sep-21,NCBA,27,28,27
6-Sep-21,NCBA,27,28,27
7-Sep-21,NCBA,27,27,27
8-Sep-21,NCBA,27,28,27
9-Sep-21,NCBA,28,28,28
10-Sep-21,NCBA,28,28,28
13-Sep-21,NCBA,28,28,28
14-Sep-21,NCBA,28,28,28
15-Sep-21,NCBA,28,28,28
16-Sep-21,NCBA,28,28,28
17-Sep-21,NCBA,28,28,28
20-Sep-21,NCBA,28,28,28
21-Sep-21,NCBA,26,28,27
22-Sep-21,NCBA,28,28,28
23-Sep-21,NCBA,28,28,28
24-Sep-21,NCBA,27,28,27
27-Sep-21,NCBA,27,28,27
28-Sep-21,NCBA,26,27,27
29-Sep-21,NCBA,25,27,26
30-Sep-21,NCBA,26,27,26
1-Oct-21,NCBA,26,26,26
4-Oct-21,NCBA,26,26,26
5-Oct-21,NCBA,25,26,26
6-Oct-21,NCBA,25,26,26
7-Oct-21,NCBA,25,26,25
8-Oct-21,NCBA,25,26,25
12-Oct-21,NCBA,25,26,25
13-Oct-21,NCBA,25,26,25
14-Oct-21,NCBA,26,26,26
15-Oct-21,NCBA,26,26,26
18-Oct-21,NCBA,26,26,26
19-Oct-21,NCBA,25,26,25
21-Oct-21,NCBA,25,26,25
22-Oct-21,NCBA,25,25,25
25-Oct-21,NCBA,25,25,25
26-Oct-21,NCBA,25,25,25
27-Oct-21,NCBA,24,25,25
28-Oct-21,NCBA,24,25,24
29-Oct-21,NCBA,24,25,24
1-Nov-21,NCBA,24,25,24
2-Nov-21,NCBA,24,25,24
3-Nov-21,NCBA,24,25,25
4-Nov-21,NCBA,24,25,24
5-Nov-21,NCBA,24,25,24
8-Nov-21,NCBA,24,25,24
9-Nov-21,NCBA,24,25,24
10-Nov-21,NCBA,24,24,24
11-Nov-21,NCBA,24,24,24
12-Nov-21,NCBA,24,24,24
15-Nov-21,NCBA,24,24,24
16-Nov-21,NCBA,24,24,24
17-Nov-21,NCBA,23,24,24
18-Nov-21,NCBA,23,24,24
19-Nov-21,NCBA,24,24,24
22-Nov-21,NCBA,23,24,24
23-Nov-21,NCBA,23,24,24
24-Nov-21,NCBA,23,24,23
25-Nov-21,NCBA,23,24,23
26-Nov-21,NCBA,24,24,24
29-Nov-21,NCBA,23,25,24
30-Nov-21,NCBA,24,25,25
1-Dec-21,NCBA,24,25,25
2-Dec-21,NCBA,23,25,24
3-Dec-21,NCBA,23,24,24
6-Dec-21,NCBA,23,24,23
7-Dec-21,NCBA,23,24,23
8-Dec-21,NCBA,23,24,24
9-Dec-21,NCBA,24,24,24
10-Dec-21,NCBA,24,26,24
14-Dec-21,NCBA,24,25,25
15-Dec-21,NCBA,25,25,25
16-Dec-21,NCBA,25,25,25
17-Dec-21,NCBA,25,25,25
20-Dec-21,NCBA,25,25,25
21-Dec-21,NCBA,25,26,25
22-Dec-21,NCBA,25,26,26
23-Dec-21,NCBA,25,26,25
24-Dec-21,NCBA,26,26,26
28-Dec-21,NCBA,25,26,25
29-Dec-21,NCBA,25,26,25
30-Dec-21,NCBA,26,26,26
31-Dec-21,NCBA,25,26,25
